Competicion,Jornada,Fecha,Equipo local,Equipo visitante,Puntos local,Puntos visitante
Playoffs Nba,Jornada 13,2023/04/24,Philadelphia 76Ers,Brooklyn Nets,,
Playoffs Nba,Jornada 12,2023/04/24,Atlanta Hawks,Boston Celtics,121,129
Playoffs Nba,Jornada 12,2023/04/24,Minnesota Timberwolves,Denver Nuggets,114,108
Acb,Jornada 29,2023/04/23,Baxi Manresa,Ucam Murcia,93,83
Acb,Jornada 29,2023/04/23,Lenovo Tenerife,Rio Breogan,85,67
Acb,Jornada 29,2023/04/23,Casademont Zaragoza,Unicaja,70,74
Acb,Jornada 29,2023/04/23,Monbus Obradoiro,Real Betis,67,82
Acb,Jornada 29,2023/04/23,Joventut Badalona,Real Madrid,76,86
Acb,Jornada 29,2023/04/23,Carplus Fuenlabrada,Cazoo Baskonia,93,112
Playoffs Nba,Jornada 11,2023/04/23,Miami Heat,Milwaukee Bucks,121,99
Playoffs Nba,Jornada 11,2023/04/23,Los Angeles Lakers,Memphis Grizzlies,111,101
Playoffs Nba,Jornada 12,2023/04/23,New York Knicks,Cleveland Cavaliers,102,93
Playoffs Nba,Jornada 12,2023/04/23,Golden State Warriors,Sacramento Kings,126,125
Acb,Jornada 29,2023/04/22,Basquet Girona,Granada,88,73
Acb,Jornada 29,2023/04/22,Valencia Basket,Surne Bilbao,95,88
Acb,Jornada 29,2023/04/22,Barca,Gran Canaria,87,79
Playoffs Nba,Jornada 10,2023/04/22,Atlanta Hawks,Boston Celtics,130,122
Playoffs Nba,Jornada 10,2023/04/22,New York Knicks,Cleveland Cavaliers,99,79
Playoffs Nba,Jornada 10,2023/04/22,Minnesota Timberwolves,Denver Nuggets,111,120
Playoffs Nba,Jornada 11,2023/04/22,Brooklyn Nets,Philadelphia 76Ers,88,96
Playoffs Nba,Jornada 11,2023/04/22,Los Angeles Clippers,Phoenix Suns,100,112
Playoffs Nba,Jornada 9,2023/04/21,Brooklyn Nets,Philadelphia 76Ers,97,102
Playoffs Nba,Jornada 9,2023/04/21,Golden State Warriors,Sacramento Kings,114,97
Playoffs Nba,Jornada 9,2023/04/21,Los Angeles Clippers,Phoenix Suns,124,129
Acb,Jornada 28,2023/04/20,Real Betis,Carplus Fuenlabrada,87,77
Acb,Jornada 28,2023/04/20,Rio Breogan,Unicaja,74,90
Playoffs Nba,Jornada 8,2023/04/20,Memphis Grizzlies,Los Angeles Lakers,103,93
Playoffs Nba,Jornada 8,2023/04/20,Milwaukee Bucks,Miami Heat,138,122
Playoffs Nba,Jornada 8,2023/04/20,Denver Nuggets,Minnesota Timberwolves,122,113
Acb,Jornada 28,2023/04/19,Cazoo Baskonia,Monbus Obradoiro,110,94
Acb,Jornada 28,2023/04/19,Real Madrid,Basquet Girona,89,70
Acb,Jornada 28,2023/04/19,Ucam Murcia,Valencia Basket,90,82
Acb,Jornada 28,2023/04/19,Granada,Barca,55,70
Playoffs Nba,Jornada 7,2023/04/19,Boston Celtics,Atlanta Hawks,119,106
Playoffs Nba,Jornada 7,2023/04/19,Cleveland Cavaliers,New York Knicks,107,90
Playoffs Nba,Jornada 7,2023/04/19,Phoenix Suns,Los Angeles Clippers,123,109
Champions League,Cuartos,2023/04/19,Hapoel Jerusalem B.C,Aek Atenas,91,51
Champions League,Cuartos,2023/04/19,Lenovo Tenerife,Baxi Manresa,84,72
Playoffs Nba,Jornada 6,2023/04/18,Philadelphia 76Ers,Brooklyn Nets,96,84
Playoffs Nba,Jornada 6,2023/04/18,Sacramento Kings,Golden State Warriors,114,106
Champions League,Cuartos,2023/04/18,Telekom Baskets Bonn,Sig Strasbourg,83,77
Playoffs Nba,Jornada 5,2023/04/17,Phoenix Suns,Los Angeles Clippers,110,115
Playoffs Nba,Jornada 5,2023/04/17,Denver Nuggets,Minnesota Timberwolves,109,80
Acb,Jornada 27,2023/04/16,Ucam Murcia,Casademont Zaragoza,79,74
Acb,Jornada 27,2023/04/16,Lenovo Tenerife,Cazoo Baskonia,83,81
Acb,Jornada 27,2023/04/16,Baxi Manresa,Granada,86,77
Acb,Jornada 27,2023/04/16,Barca,Real Madrid,97,82
Acb,Jornada 27,2023/04/16,Valencia Basket,Real Betis,87,81
Playoffs Nba,Jornada 4,2023/04/16,Cleveland Cavaliers,New York Knicks,97,101
Playoffs Nba,Jornada 4,2023/04/16,Sacramento Kings,Golden State Warriors,126,123
Playoffs Nba,Jornada 5,2023/04/16,Memphis Grizzlies,Los Angeles Lakers,112,128
Playoffs Nba,Jornada 5,2023/04/16,Milwaukee Bucks,Miami Heat,117,130
Acb,Jornada 27,2023/04/15,Unicaja,Monbus Obradoiro,99,89
Acb,Jornada 27,2023/04/15,Carplus Fuenlabrada,Surne Bilbao,77,71
Acb,Jornada 27,2023/04/15,Joventut Badalona,Basquet Girona,92,64
Acb,Jornada 27,2023/04/15,Gran Canaria,Rio Breogan,77,66
Playoffs Nba,Jornada 3,2023/04/15,Miami Heat,Chicago Bulls,102,91
Playoffs Nba,Jornada 3,2023/04/15,Minnesota Timberwolves,Oklahoma City Thunder,120,95
Playoffs Nba,Jornada 4,2023/04/15,Philadelphia 76Ers,Brooklyn Nets,121,101
Playoffs Nba,Jornada 4,2023/04/15,Boston Celtics,Atlanta Hawks,112,99
Euroliga,Jornada 34,2023/04/14,Anadolu Efes,As Monaco,87,72
Euroliga,Jornada 34,2023/04/14,Barca,Valencia Basket,85,71
Euroliga,Jornada 34,2023/04/14,Partizan,Panathinaikos,83,81
Euroliga,Jornada 34,2023/04/14,B. Munich,Zalgiris,80,83
Playoffs Nba,Jornada 2,2023/04/13,Toronto Raptors,Chicago Bulls,105,109
Playoffs Nba,Jornada 2,2023/04/13,New Orleans Pelicans,Oklahoma City Thunder,118,123
Euroliga,Jornada 34,2023/04/13,Estrella Roja,Fenerbahce,91,89
Euroliga,Jornada 34,2023/04/13,Alba Berlin,Asvel Villeurbanne,88,71
Euroliga,Jornada 34,2023/04/13,Olympiacos,Cazoo Baskonia,86,78
Euroliga,Jornada 34,2023/04/13,Maccabi,Real Madrid,100,96
Euroliga,Jornada 34,2023/04/13,Virtus Bologna,Milan,89,84
Playoffs Nba,Jornada 1,2023/04/12,Miami Heat,Atlanta Hawks,105,116
Playoffs Nba,Jornada 1,2023/04/12,Los Angeles Lakers,Minnesota Timberwolves,108,102
Champions League,Cuartos,2023/04/12,Aek Atenas,Hapoel Jerusalem B.C,94,78
Champions League,Cuartos,2023/04/12,Ucam Murcia,Unicaja,74,96
Champions League,Cuartos,2023/04/12,Baxi Manresa,Lenovo Tenerife,85,83
Champions League,Cuartos,2023/04/11,Sig Strasbourg,Telekom Baskets Bonn,66,76
Acb,Jornada 26,2023/04/09,Basquet Girona,Carplus Fuenlabrada,85,60
Acb,Jornada 26,2023/04/09,Real Betis,Lenovo Tenerife,80,76
Acb,Jornada 26,2023/04/09,Surne Bilbao,Barca,82,80
Acb,Jornada 26,2023/04/09,Joventut Badalona,Valencia Basket,85,70
Acb,Jornada 26,2023/04/09,Cazoo Baskonia,Baxi Manresa,107,92
Nba,Jornada 164,2023/04/09,Chicago Bulls,Detroit Pistons,103,81
Nba,Jornada 164,2023/04/09,Toronto Raptors,Milwaukee Bucks,121,105
Nba,Jornada 164,2023/04/09,Brooklyn Nets,Philadelphia 76Ers,105,134
Nba,Jornada 164,2023/04/09,Boston Celtics,Atlanta Hawks,120,114
Nba,Jornada 164,2023/04/09,Cleveland Cavaliers,Charlotte Hornets,95,106
Nba,Jornada 164,2023/04/09,Miami Heat,Orlando Magic,123,110
Nba,Jornada 164,2023/04/09,New York Knicks,Indiana Pacers,136,141
Nba,Jornada 164,2023/04/09,Washington Wizards,Houston Rockets,109,114
Nba,Jornada 164,2023/04/09,Phoenix Suns,Los Angeles Clippers,114,119
Nba,Jornada 164,2023/04/09,Minnesota Timberwolves,New Orleans Pelicans,113,108
Nba,Jornada 164,2023/04/09,Portland Trail Blazers,Golden State Warriors,101,157
Nba,Jornada 164,2023/04/09,Dallas Mavericks,San Antonio Spurs,117,138
Nba,Jornada 164,2023/04/09,Oklahoma City Thunder,Memphis Grizzlies,115,100
Nba,Jornada 164,2023/04/09,Denver Nuggets,Sacramento Kings,109,95
Nba,Jornada 164,2023/04/09,Los Angeles Lakers,Utah Jazz,128,117
Acb,Jornada 26,2023/04/08,Granada,Unicaja,69,101
Acb,Jornada 26,2023/04/08,Monbus Obradoiro,Ucam Murcia,81,79
Acb,Jornada 26,2023/04/08,Rio Breogan,Real Madrid,96,72
Acb,Jornada 26,2023/04/08,Casademont Zaragoza,Gran Canaria,76,73
Nba,Jornada 162,2023/04/08,Charlotte Hornets,Houston Rockets,109,112
Nba,Jornada 162,2023/04/08,Indiana Pacers,Detroit Pistons,115,122
Nba,Jornada 162,2023/04/08,Washington Wizards,Miami Heat,114,108
Nba,Jornada 162,2023/04/08,Brooklyn Nets,Orlando Magic,101,84
