Competicion,Jornada,Fecha,Equipo local,Equipo visitante,Goles local,Goles visitante
Laliga Smartbank,Jornada 37,2023/04/24,Huesca,Tenerife,,
Serie A,Jornada 31,2023/04/24,Atalanta,Roma,,
Superliga Turquia,Jornada 31,2023/04/24,Giresunspor,Basaksehir,,
Superliga Turquia,Jornada 31,2023/04/24,Antalyaspor,Sivasspor,,
Superliga Turquia,Jornada 31,2023/04/24,Fenerbahce,Istanbulspor,,
Laliga Santander,Jornada 30,2023/04/23,Elche,Valencia,0,2
Laliga Santander,Jornada 30,2023/04/23,Barcelona,Atletico,1,0
Laliga Santander,Jornada 30,2023/04/23,Mallorca,Getafe,3,1
Laliga Santander,Jornada 30,2023/04/23,Sevilla,Villarreal,2,1
Laliga Smartbank,Jornada 37,2023/04/23,Lugo,Malaga,0,2
Laliga Smartbank,Jornada 37,2023/04/23,Mirandes,Burgos Cf,2,1
Laliga Smartbank,Jornada 37,2023/04/23,Racing,Granada,1,0
Laliga Smartbank,Jornada 37,2023/04/23,Alaves,Leganes,2,1
Premier League,Jornada 32,2023/04/23,Bournemouth,West Ham,0,4
Premier League,Jornada 32,2023/04/23,Newcastle,Tottenham,6,1
Serie A,Jornada 31,2023/04/23,Empoli,Inter,0,3
Serie A,Jornada 31,2023/04/23,Monza,Fiorentina,3,2
Serie A,Jornada 31,2023/04/23,Udinese,Cremonese,3,0
Serie A,Jornada 31,2023/04/23,Milan,Lecce,2,0
Serie A,Jornada 31,2023/04/23,Juventus,Napoles,0,1
Bundesliga,Jornada 29,2023/04/23,Friburgo,Schalke 04,4,0
Bundesliga,Jornada 29,2023/04/23,Leverkusen,Rb Leipzig,2,0
Bundesliga,Jornada 29,2023/04/23,B. Mgladbach,Union Berlin,0,1
Ligue 1,Jornada 32,2023/04/23,Stade De Reims,Estrasburgo,0,2
Ligue 1,Jornada 32,2023/04/23,Nantes,Troyes,2,2
Ligue 1,Jornada 32,2023/04/23,Niza,Clermont,1,2
Ligue 1,Jornada 32,2023/04/23,Lorient,Toulouse,0,1
Ligue 1,Jornada 32,2023/04/23,Gazelec Ajaccio,Brest,0,0
Ligue 1,Jornada 32,2023/04/23,Montpellier,Rennes,1,0
Ligue 1,Jornada 32,2023/04/23,Lyon,Marsella,1,2
Superliga Turquia,Jornada 31,2023/04/23,Kasimpasa,Konyaspor,1,2
Superliga Turquia,Jornada 31,2023/04/23,Adanaspor,Kayserispor,5,3
Superliga Turquia,Jornada 31,2023/04/23,Galatasaray,Fatih Karagumruk,3,3
Superliga Turquia,Jornada 31,2023/04/23,Gaziantep Fk,Alanyaspor,0,3
Superliga Turquia,Jornada 31,2023/04/23,Hatayspor,Ankaragucu,0,3
Laliga Santander,Jornada 30,2023/04/22,Osasuna,Betis,3,2
Laliga Santander,Jornada 30,2023/04/22,Almeria,Athletic,1,2
Laliga Santander,Jornada 30,2023/04/22,R. Sociedad,Rayo,2,1
Laliga Santander,Jornada 30,2023/04/22,Real Valladolid,Girona,1,0
Laliga Santander,Jornada 30,2023/04/22,Real Madrid,Celta,2,0
Laliga Smartbank,Jornada 37,2023/04/22,Villarreal B,Albacete,1,2
Laliga Smartbank,Jornada 37,2023/04/22,Cartagena,Sporting,2,1
Laliga Smartbank,Jornada 37,2023/04/22,Ponferradina,Andorra,1,4
Laliga Smartbank,Jornada 37,2023/04/22,Las Palmas,Levante,0,0
Laliga Smartbank,Jornada 37,2023/04/22,Ud Ibiza-Eivissa,Oviedo,1,2
Premier League,Jornada 32,2023/04/22,Fulham,Leeds,2,1
Premier League,Jornada 32,2023/04/22,Brentford,Aston Villa,1,1
Premier League,Jornada 32,2023/04/22,Crystal Palace,Everton,0,0
Premier League,Jornada 32,2023/04/22,Leicester,Wolves,2,1
Premier League,Jornada 32,2023/04/22,Liverpool,Nottingham Forest,3,2
Serie A,Jornada 31,2023/04/22,Salernitana,Sassuolo,3,0
Serie A,Jornada 31,2023/04/22,Lazio,Torino,0,1
Serie A,Jornada 31,2023/04/22,Sampdoria,Spezia,1,1
Bundesliga,Jornada 29,2023/04/22,Mainz 05,Bayern,3,1
Bundesliga,Jornada 29,2023/04/22,Bochum,Wolfsburgo,1,5
Bundesliga,Jornada 29,2023/04/22,Hoffenheim,Colonia,1,3
Bundesliga,Jornada 29,2023/04/22,Hertha,W. Bremen,2,4
Bundesliga,Jornada 29,2023/04/22,B. Dortmund,Eintracht Fr.,4,0
Ligue 1,Jornada 32,2023/04/22,Auxerre,Lille,1,1
Ligue 1,Jornada 32,2023/04/22,Lens,Monaco,3,0
Superliga Turquia,Jornada 31,2023/04/22,Umraniyespor,Besiktas,0,2
Laliga Santander,Jornada 30,2023/04/21,Espanyol,Cadiz,0,0
Laliga Smartbank,Jornada 37,2023/04/21,Eibar,Real Zaragoza,1,1
Premier League,Jornada 32,2023/04/21,Arsenal,Southampton,3,3
Serie A,Jornada 31,2023/04/21,Verona,Bolonia,2,1
Bundesliga,Jornada 29,2023/04/21,Augsburgo,Stuttgart,1,1
Ligue 1,Jornada 32,2023/04/21,Angers,Psg,1,2
Europa League,Cuartos,2023/04/20,Roma,Feyenoord,4,1
Europa League,Cuartos,2023/04/20,Sp. Portugal,Juventus,1,1
Europa League,Cuartos,2023/04/20,Sevilla,M. United,3,0
Europa League,Cuartos,2023/04/20,Union St-Gilloise,Leverkusen,1,4
Conference League,Cuartos,2023/04/20,Az Alkmaar,Anderlecht,2(4),0(1)
Conference League,Cuartos,2023/04/20,Fiorentina,Lech Poznan,2,3
Conference League,Cuartos,2023/04/20,Niza,Basilea,1,2
Conference League,Cuartos,2023/04/20,West Ham,Gent,4,1
Amistosos De Selecciones,Jornada 41,2023/04/20,Usa,Mexico,1,1
Superliga Turquia,Jornada 30,2023/04/20,Ankaragucu,Giresunspor,3,1
Superliga Turquia,Jornada 30,2023/04/20,Sivasspor,Trabzonspor,4,1
Champions League,Cuartos,2023/04/19,Bayern,M. City,1,1
Champions League,Cuartos,2023/04/19,Inter,Benfica,3,3
Superliga Turquia,Jornada 30,2023/04/19,Istanbulspor,Antalyaspor,3,3
Superliga Turquia,Jornada 30,2023/04/19,Kayserispor,Kasimpasa,0,0
Superliga Turquia,Jornada 30,2023/04/19,Besiktas,Hatayspor,3,0
Superliga Turquia,Jornada 30,2023/04/19,Basaksehir,Fenerbahce,1,2
Superliga Turquia,Jornada 30,2023/04/19,Konyaspor,Adanaspor,1,2
Champions League,Cuartos,2023/04/18,Chelsea,Real Madrid,0,2
Champions League,Cuartos,2023/04/18,Napoles,Milan,1,1
Superliga Turquia,Jornada 30,2023/04/18,Alanyaspor,Galatasaray,1,4
Superliga Turquia,Jornada 30,2023/04/18,Fatih Karagumruk,Umraniyespor,4,2
Laliga Santander,Jornada 29,2023/04/17,Celta,Mallorca,0,1
Laliga Smartbank,Jornada 36,2023/04/17,Levante,Mirandes,1,2
Premier League,Jornada 31,2023/04/17,Leeds,Liverpool,1,6
